gloss,closs,cfloss,crloss,cploss
85.38856633504231,-110.96123062769571,-25.541361947116258,-203.77257469474984,118.35270726680756
38.57008870442708,-265.48655497233074,-107.25527725219725,-371.22394816080725,212.99266966183978
372.82015347480774,-324.55028483072914,-244.77098197937013,-302.9827786763509,223.2034746805827
-865.4546763102214,-300.1332631429036,302.0429609457652,-816.8944173177083,214.71819889545438
939.9389241536458,-258.8060546875,-652.4469329833984,154.0182523091634,239.62263067563373
813.9166056315103,-285.8534240722656,-845.6566528320312,363.7137400309245,196.08948961893717
608.4261627197266,-222.85828653971356,-533.7516489664714,137.02969919840496,173.8636630773544
1088.4265950520833,-252.29850870768232,-1127.2578694661458,705.5187703450521,169.4405902226766
600.8720703125,-215.46420389811198,-872.391874186198,507.2131632486979,149.71450670560202
688.1510416666667,-202.61226908365884,-610.6497884114583,276.98302815755204,131.05449032783508
635.7004191080729,-184.28165588378906,-652.0097778320312,344.51959533691405,123.20852581659955
549.802978515625,-152.87304992675783,-659.9740539550781,400.5136678059896,106.58733705679575
1245.178955078125,-129.59145762125652,-1041.3266316731772,841.2881937662761,70.4469796816508
1120.0668131510417,-115.60865122477213,-1147.7945149739583,967.3654866536458,64.82037734985352
947.5904947916667,-94.01970062255859,-961.104764811198,815.63212890625,51.452935934066765
744.366923014323,-72.69788869222005,-765.8492838541666,657.3845458984375,35.766849994659424
681.0580647786459,-54.67992197672526,-639.8330200195312,560.6577331542969,24.495364427566525
358.30013020833337,-38.29222234090169,-410.89513041178384,355.4083791097005,17.194529275099438
476.7860310872395,-31.566853713989254,-461.5630533854167,419.4255493164063,10.570650815963745
303.505615234375,-27.07903111775716,-326.2024709065755,290.04364318847655,9.079796373844147
184.19562276204428,-25.12550277709961,-214.52444051106772,180.07739715576173,9.321540474891663
198.78245544433594,-26.626279576619464,-180.8622319539388,145.82429097493488,8.411661028862
174.77444458007812,-25.849003346761066,-162.98938852945963,128.61436614990234,8.526018917560577
189.6015853881836,-25.108972930908205,-207.53920694986977,173.86139068603518,8.568843434254328
215.28475443522132,-24.22278149922689,-210.97935587565104,178.94840291341143,7.80817121764024
207.50603230794272,-23.478697204589842,-197.48562723795573,166.32905069986978,7.677879571914673
209.44218444824222,-23.304288991292317,-220.459228515625,189.90609639485675,7.248843342065811
197.9479217529297,-21.72471364339193,-180.39502970377603,151.86585947672526,6.804456936816374
223.67709350585938,-20.954542541503905,-189.16597595214844,162.07110392252605,6.140329480171204
201.7704315185547,-20.427191034952802,-191.37596842447917,164.950461324056,5.998316218455633
169.05923461914062,-18.899446741739908,-168.44598388671875,143.96287638346357,5.583660870790482
207.53621419270831,-18.339797592163087,-188.47673187255862,164.69975331624352,5.437181184689204
181.4172617594401,-18.404343605041507,-163.0813405354818,139.48174896240232,5.195248007774353
117.20892079671223,-18.700962193806966,-132.59127909342448,108.52042795817059,5.369889140129089
124.77679443359375,-18.136506779988608,-130.91058909098308,107.62763290405275,5.146449238061905
131.80282338460285,-17.815016555786134,-125.42414143880208,102.44959411621093,5.15953062226375
125.20658365885417,-17.005056699117027,-116.15001322428385,93.80712509155273,5.337831407785416
250.9726104736328,-16.88506139119466,-203.40135091145834,182.06747309366864,4.448816468318304
156.5398915608724,-16.964317830403647,-159.24180908203124,137.66470082600912,4.612790522476038
86.99056243896484,-16.575649070739747,-91.44073232014973,70.2462043762207,4.618879020214081
84.78418477376303,-17.036601003011068,-85.70127283732097,63.613040924072266,5.0516307552655535
85.94833119710287,-16.622360928853354,-77.99752095540364,56.91519444783529,4.459965671102206
92.28389994303384,-16.646104494730633,-92.8312510172526,71.37445755004883,4.810688870648543
75.69273122151694,-17.51872355143229,-78.53675130208333,55.770287831624344,5.247739791870117
67.62257639567058,-17.950692685445148,-65.85419489542643,42.85332628885905,5.050175781051317
58.9598871866862,-17.995271746317545,-58.175844573974615,34.70724601745606,5.4733267327149715
91.52111434936523,-17.362311363220215,-79.5477503458659,56.98418566385905,5.2012530863285065
92.08296966552734,-17.117982864379883,-89.73467559814453,67.60673599243164,5.009956906239192
63.911992390950516,-17.586936187744143,-64.268212890625,41.6048900604248,5.07638647655646
71.48507690429688,-18.485536193847658,-60.26847941080729,36.12350006103515,5.659443100293477
88.4442621866862,-18.11193389892578,-92.46150156656901,68.93417180379231,5.415395890673001
70.19572321573894,-19.02254320780436,-75.91147384643556,51.067327626546216,5.821602960427602
54.848880767822266,-19.159951082865398,-61.025174458821624,35.748488108317055,6.116735289494196
71.31378173828125,-20.492203267415366,-73.37058537801107,46.233287938435865,6.645094215869904
71.61765797932942,-21.622320556640627,-75.97762832641602,47.28827056884766,7.067037125428518
63.59573618570964,-21.263651529947918,-69.09831975301107,40.784402465820314,7.050265808900196
78.06917063395183,-21.307199859619143,-64.98814264933269,36.765975570678705,6.914967169364294
59.22725550333659,-20.848429489135743,-62.45093332926433,34.68691482543945,6.915589014689129
66.505615234375,-22.070629247029622,-65.33441975911458,36.12756614685059,7.136224230130512
67.533509572347,-21.489189275105797,-62.49519577026368,33.88244158426921,7.1235648691654205
65.33484141031902,-22.320311609903975,-67.31692632039388,37.40531514485677,7.591299692789713
69.19791793823242,-22.441157786051434,-65.36599400838216,35.7510264078776,7.173809766769409
58.31835683186849,-22.50143038431803,-60.568492380778,30.577080790201826,7.489981035391489
77.21556854248047,-22.382084528605144,-61.593848673502606,32.08162434895833,7.130140006542206
65.58745447794597,-21.807624435424806,-72.72314605712891,43.72555656433106,7.189964930216471
60.531344095865876,-22.428746032714844,-55.37249196370442,25.83709971110026,7.106646080811819
55.03046544392904,-23.038785425821942,-60.63279266357422,29.63839060465495,7.9556165138880415
63.451760609944664,-22.49971313476562,-64.66080525716146,34.96288859049479,7.198203434546789
62.23476537068686,-22.56153653462728,-56.35385157267254,26.597806676228842,7.1945081651210785
80.75657145182292,-21.438483047485352,-78.4020762125651,49.96748199462891,6.996111482381821
65.09873708089194,-23.478710174560547,-68.05415395100911,37.0414005279541,7.5340429941813145
61.99700927734375,-22.588577779134113,-52.77530314127604,23.181494267781574,7.005230963230133
62.224178314208984,-23.041244506835938,-60.42222112019857,29.943674087524414,7.437302132447561
55.10947545369466,-23.013886642456054,-52.240074157714844,21.911020787556964,7.31516695022583
54.70571263631185,-22.898178227742516,-51.925933583577475,21.669207890828453,7.358547925949097
